source_file,party_name,order_no,order_date,item,type,size,quantity,notes
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,50,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,55,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,60,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,65,7,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,70,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,75,9,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,80,10,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Cotton,30,85,11,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,80,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,75,11,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,70,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,65,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,60,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,55,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B 5107 Blouse,32,50,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,50,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,55,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,60,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,65,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,70,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,75,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,80,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,85,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,90,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,95,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,100,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Salwar Kameez Full Pant,34,105,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,50,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,55,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,60,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,65,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,70,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,75,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,80,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Eiffelge Full Pant,36,85,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,50,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,55,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,60,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,65,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,70,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,75,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,80,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,85,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,90,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,95,4,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,100,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Tech Tron Full Pant,38,105,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,50,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,55,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,60,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,65,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,70,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,75,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,80,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,85,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,90,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,95,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Feather Boy,40,100,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,XUV Half Short,42,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,85,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,80,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,75,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,70,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,65,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,60,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,55,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,50,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Ras,44,45,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,80,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,75,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,70,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,65,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,60,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,55,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM K 3674 RNS T-Shirt,46,50,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM Loose Full Pant,48,45,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM Loose Full Pant,48,50,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM Loose Full Pant,48,55,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,MM Loose Full Pant,48,60,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Nivi Blouse,50,65,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Nivi Blouse,50,60,6,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Nivi Blouse,50,55,6,Old Rate Supply Only
