timestamp_utc,image,model,mode,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,estimated_cost_usd,duration_seconds,error
2026-08-14T12:22:08+00:00,sample 10 crop.jpg,mistral-large-3:675b,total,,,,,,40.796,
2026-08-17T06:09:14+00:00,sample 10 upscaled.jpg,mistral-large-3:675b,main-attempt1,5203,,,2362,,40.568,
2026-08-17T06:09:14+00:00,sample 10 upscaled.jpg,mistral-large-3:675b,total,,,,,,40.603,
2026-08-17T06:11:57+00:00,sample 10 upscaled rot.jpg,mistral-large-3:675b,main-attempt1,5167,,,2353,,38.915,
2026-08-17T06:11:57+00:00,sample 10 upscaled rot.jpg,mistral-large-3:675b,total,,,,,,38.931,
2026-08-17T06:19:31+00:00,sample 10 upscaled 4x rot.jpg,mistral-large-3:675b,main-attempt1,5167,,,2342,,33.113,
2026-08-17T06:19:31+00:00,sample 10 upscaled 4x rot.jpg,mistral-large-3:675b,total,,,,,,33.230,
2026-08-17T06:37:01+00:00,sample 10.jpeg,mistral-large-3:675b,main-attempt1,4719,,,2254,,37.911,
2026-08-17T06:37:17+00:00,sample 10.jpeg,mistral-large-3:675b,total,,,,,,54.768,
2026-08-17T06:47:09+00:00,sample 10 crop.jpg,mistral-large-3:675b,main-attempt1,4691,,,2277,,33.031,
2026-08-17T06:51:54+00:00,sample 10 crop.jpg,mistral-large-3:675b,total,,,,,,318.165,
2026-08-17T07:06:37+00:00,sample 10 crop.jpg,mistral-large-3:675b,main-attempt1,4691,,,2271,,38.141,
2026-08-17T07:11:25+00:00,sample 10 crop.jpg,mistral-large-3:675b,total,,,,,,325.639,
2026-08-17T10:16:30+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,4977,,,1474,,28.278,
2026-08-17T10:16:30+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,28.311,
2026-08-17T10:21:20+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6215,,,1756,,35.691,
2026-08-17T10:21:20+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,35.703,
2026-08-17T10:28:49+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6280,,,1720,,25.593,
2026-08-17T10:28:49+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,25.607,
2026-08-17T10:30:16+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6280,,,1808,,36.262,
2026-08-17T10:30:16+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,36.273,
2026-08-17T10:31:14+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6280,,,1749,,26.559,
2026-08-17T10:31:14+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,26.573,
2026-08-17T10:43:47+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5432,,,1440,,26.708,
2026-08-17T10:43:47+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,26.722,
2026-08-17T10:48:04+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5593,,,1442,,28.076,
2026-08-17T10:48:04+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,28.089,
2026-08-17T12:41:55+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,7420,,,2103,,32.761,
2026-08-17T12:41:55+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,32.774,
2026-08-17T12:45:40+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,6965,,,2059,,31.982,
2026-08-17T12:45:40+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,31.996,
2026-08-17T12:50:29+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,6965,,,2059,,36.296,
2026-08-17T12:50:29+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,36.309,
2026-08-17T12:55:02+00:00,sample 5-scanned.jpg,mistral-large-3:675b,main-attempt1,6553,,,2030,,36.014,
2026-08-17T12:55:02+00:00,sample 5-scanned.jpg,mistral-large-3:675b,total,,,,,,36.026,
2026-08-17T14:09:02+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6379,,,1828,,30.272,
2026-08-17T14:09:02+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,30.289,
2026-08-17T14:09:36+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6379,,,1820,,32.152,
2026-08-17T14:09:36+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,32.167,
2026-08-17T14:10:18+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6379,,,1848,,39.576,
2026-08-17T14:10:18+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,39.593,
2026-08-17T14:12:34+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,7129,,,2108,,36.439,
2026-08-17T14:12:34+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,36.462,
2026-08-17T14:17:21+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5279,,,1732,,30.373,
2026-08-17T14:17:21+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,30.564,
2026-08-17T14:18:44+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,7129,,,2200,,37.144,
2026-08-17T14:18:44+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,37.500,
2026-08-17T14:20:15+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,6196,,,2097,,36.128,
2026-08-17T14:20:15+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,36.142,
2026-08-17T14:21:20+00:00,sample 7.jpeg,mistral-large-3:675b,main-attempt1,6567,,,1224,,21.507,
2026-08-17T14:21:20+00:00,sample 7.jpeg,mistral-large-3:675b,total,,,,,,21.838,
2026-08-19T05:21:04+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1496,,21.364,
2026-08-19T05:21:57+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,74.727,
2026-08-19T05:24:12+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1496,,20.896,
2026-08-19T05:25:13+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,82.094,
2026-08-19T05:28:48+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1496,,22.748,
2026-08-19T05:29:53+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,87.760,
2026-08-19T05:32:11+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1489,,23.782,
2026-08-19T05:33:13+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,86.473,
2026-08-19T05:35:07+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1496,,24.400,
2026-08-19T05:36:04+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,81.444,
2026-08-19T05:38:17+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,7129,,,2111,,29.851,
2026-08-19T05:39:36+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,108.862,
2026-08-19T06:36:12+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1489,,20.427,
2026-08-19T06:37:14+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,82.582,
2026-08-19T06:41:19+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1508,,25.962,
2026-08-19T06:42:19+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,86.832,
2026-08-19T06:59:57+00:00,sample 12-scanned.jpg,mistral-large-3:675b,main-attempt1,5141,,,1523,,23.686,
2026-08-19T07:01:01+00:00,sample 12-scanned.jpg,mistral-large-3:675b,total,,,,,,86.890,
